feature_name,idf_weights
penjara,7.294035232053513
pensiun,7.294035232053513
pensiunkhawatir,7.699500340161678
penting,5.173771695853422
penuh,6.783209608287523
pepatah,7.699500340161678
per,6.600888051493568
peran,7.699500340161678
perancanaan,7.699500340161678
perang,6.313205979041787
peras,7.294035232053513
perata,5.827698163260086
peraturang,7.699500340161678
perbanyakdan,7.699500340161678
percaya,6.44673737166631
percuma,7.0063531596017325
perdana,7.699500340161678
perdanafinland,7.699500340161678
perencanaanya,7.699500340161678
pergi,7.294035232053513
perhati,6.783209608287523
peringkat,7.699500340161678
perintah,4.403663474157349
periode,6.195422943385404
perkembanganya,7.699500340161678
perlu,5.684597319619413
permanen,7.294035232053513
pernah,6.195422943385404
perosok,7.699500340161678
persen,7.0063531596017325
persis,7.699500340161678
personal,7.699500340161678
personil,7.699500340161678
pertama,6.313205979041787
perubahantanpa,7.699500340161678
perut,7.699500340161678
pesan,7.699500340161678
pesat,7.699500340161678
pesawat,7.699500340161678
pesimis,7.0063531596017325
peting,7.699500340161678
petinggi,7.699500340161678
philipina,7.699500340161678
phk,7.699500340161678
phobia,7.699500340161678
photo,7.699500340161678
pihak,7.0063531596017325
pikir,5.502275762825459
pikirin,7.294035232053513
pilih,5.3481250829982
pilpres,7.294035232053513
pimpin,5.096810654717294
pindah,4.173139815545516
pindahin,7.0063531596017325
pinggang,7.699500340161678
pinggir,7.294035232053513
pinggiransemoga,7.699500340161678
pinjam,6.783209608287523
pintar,6.313205979041787
pinus,7.699500340161678
pisah,7.699500340161678
pita,7.294035232053513
pj,7.699500340161678
pki,7.0063531596017325
planing,7.699500340161678
plastik,7.699500340161678
please,7.699500340161678
plis,7.699500340161678
plisss,7.699500340161678
plissss,7.699500340161678
pln,7.699500340161678
pns,6.44673737166631
pohon,5.396915247167632
pokok,6.195422943385404
politik,6.44673737166631
polos,7.294035232053513
polusi,7.0063531596017325
polusisering,7.699500340161678
polutions,7.699500340161678
pondasi,7.294035232053513
pondasinya,7.699500340161678
populasi,6.600888051493568
portable,7.699500340161678
positif,7.294035232053513
posting,7.699500340161678
